customer_key,customer_number,customer_name,age,purchasing_behavior_segment,age_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,average_order_value,average_monthly_spend
1472,AW00012471,"Lacey Zeng",52,New,"45 - 70",2013-03-16,147,4,84,4,4,0,21.0000,84
2777,AW00013776,"Miguel Carter",93,New,"above 70",2013-03-16,147,4,71,4,4,0,17.7500,71
582,AW00011581,"Cindy Jordan",NULL,New,"above 70",2013-11-22,139,11,237,11,11,9,21.5455,26.3333
3822,AW00014821,"Maurice Raje",55,New,"45 - 70",2013-03-16,147,1,30,1,1,0,30.0000,30
13,AW00011012,"Lauren Walker",46,New,"45 - 70",2013-10-15,140,5,81,5,5,6,16.2000,13.5000
732,AW00011731,"Tanya Gill",59,New,"45 - 70",2013-08-04,143,5,121,5,5,4,24.2000,30.2500
3354,AW00014353,"Erin Reed",44,New,"20 - 45",2013-04-05,147,8,129,8,8,0,16.1250,129
348,AW00011347,"Roy Navarro",53,New,"45 - 70",2013-03-16,147,2,14,2,2,0,7.0000,14
3084,AW00014083,"Nathan Lopez",39,Regular,"20 - 45",2013-03-16,147,3,2751,3,3,12,917.0000,229.2500
3104,AW00014103,"Monique Blanco",76,Regular,"above 70",2013-09-08,142,7,3611,7,7,13,515.8571,277.7692
98,AW00011097,"Edwin Nara",52,VIP,"45 - 70",2013-07-24,143,5,8099,5,5,27,1619.8000,299.9630
1631,AW00012630,"Kevin Simmons",65,New,"45 - 70",2013-04-26,146,6,6825,6,6,8,1137.5000,853.1250
51,AW00011050,"Alan Zheng",68,VIP,"45 - 70",2013-11-19,139,6,5007,6,6,32,834.5000,156.4688
1134,AW00012133,"Colleen Xie",64,VIP,"45 - 70",2013-12-01,139,10,5830,10,10,21,583.0000,277.6190
3100,AW00014099,"Rafael Lin",80,New,"above 70",2013-09-14,141,5,200,5,5,5,40.0000,40.0000
2182,AW00013181,"Brian Morgan",77,New,"above 70",2013-11-02,140,4,186,4,4,7,46.5000,26.5714
2642,AW00013641,"Adrian Watson",49,New,"45 - 70",2013-06-07,145,6,144,6,6,2,24.0000,72.0000
3060,AW00014059,"Rodney Ramos",48,New,"45 - 70",2013-07-04,144,5,106,5,5,3,21.2000,35.3333
2628,AW00013627,"Natasha Rubio",47,New,"45 - 70",2013-11-20,139,6,214,6,6,8,35.6667,26.7500
181,AW00011180,"April Anand",77,New,"above 70",2013-09-25,141,6,138,6,6,6,23.0000,23.0000
741,AW00011740,"Jan Hall",60,New,"45 - 70",2014-01-18,137,14,384,14,14,10,27.4286,38.4000
186,AW00011185,"Ashley Henderson",75,New,"above 70",2014-01-26,137,68,1616,68,68,11,23.7647,146.9091
2186,AW00013185,"William Lee",77,New,"above 70",2013-07-21,143,8,150,8,8,4,18.7500,37.5000
2765,AW00013764,"Stephanie Parker",51,New,"45 - 70",2013-03-17,147,3,75,3,3,0,25.0000,75
3812,AW00014811,"Molly Sanchez",53,New,"45 - 70",2013-03-17,147,3,37,3,3,0,12.3333,37
3536,AW00014535,"Dustin Anand",53,New,"45 - 70",2013-03-17,147,3,123,3,3,0,41.0000,123
1569,AW00012568,"Stacey Ye",77,New,"above 70",2013-03-17,147,4,67,4,4,1,16.7500,67.0000
2939,AW00013938,"Alejandro Cai",52,New,"45 - 70",2013-03-17,147,6,3071,6,6,3,511.8333,1023.6667
1190,AW00012189,"Sophia Wright",54,VIP,"45 - 70",2013-03-17,147,4,5950,4,4,15,1487.5000,396.6667
1711,AW00012710,"Dalton Evans",78,New,"above 70",2013-07-26,143,4,4774,4,4,4,1193.5000,1193.5000
907,AW00011906,"Gabriella Sanders",52,VIP,"45 - 70",2013-07-12,143,7,8151,7,7,22,1164.4286,370.5000
576,AW00011575,"Jackson Campbell",54,VIP,"45 - 70",2013-09-16,141,7,6806,7,7,19,972.2857,358.2105
565,AW00011564,"Jorge Liang",53,Regular,"45 - 70",2013-03-18,147,2,4369,2,2,13,2184.5000,336.0769
72,AW00011071,"Linda Serrano",64,New,"45 - 70",2013-12-01,139,7,110,7,7,9,15.7143,12.2222
